RUN,Hit Finding,SeparateStrongFromWeak,FinerInspection,IncreaseThreshold -t 50,IncreaseThreshold -t 100,sortHits,Ice Ratio (%),SAMPLE,COMMENT,NOZZLE,DATE (m/d/y),START TIME (hh:mm:ss),END TIME (hh:mm:ss),LENGTH (mm:ss),MCC ENERGY (eV),PULSE LENGTH (fs),REP RATE    (Hz),CHARGE (pC),PULSE ENERGY (mJ),FOCAL SIZE (um^2),SILICON FILTERS (um),TRANSMISSION,ATTENUATION CHANGED DURING RUN?,ATTENUATOR IN FRONT OF FRONT DETECTOR (um),SAMPLE-DETECTOR Z (mm),DS1 POS Z (mm),DS1 QMAX (Å-1),DS1 MOVED DURING RUN?,DSD POS Z (mm),DSD QMAX (Å-1),DSD MOVED DURING RUN?,SAMPLE X POS ROUGH (mm),SAMPLE Y POS ROUGH (mm),SAMPLE Z POS ROUGH (mm),SAMPLE X POS FINE (encoder),SAMPLE Z POS FINE (encoder),DISTANCE FROM NOZZLE (mm),CHANGED Y OR Z POS DURING RUN?,PRESSURE SAMPLE CHAMBER (torr),PRESSURE DETECTOR STAGE (torr),GAS PRESSURE (PSI N2),LIQUID PRESSURE (PSI He),PIEZO WAVEFORM,PIEZO FREQUENCY (Hz),PIEZO AMPLITUDE (Vpp),NOZZLE DIAMETER (pixels),JET DIAMETER MEASURE AT?,JET DIAMETER (um),FLOW RATE (ul/min),DROPLET VELOCITY (m/s),DROPLET DIAMETER (um),DROPLET-DROPLET DISTANCE (um),CALCULATED TEMPERATURE (K),DAQ MODE,# OF FILES (.xtc),SIZE (GB),FRAMES / GB,FRAMES PROCESSED,#HITS hitfinder,RATE (%) hitfinder,#ICEHITS hitfinder,ICE RATIO,COMMENT copy,run copy,runnum,nxtc,sizextc,nfr,darksub,hitf,nhitf,hitfADC,hitfNAT,hitfr,icef,nicef,icefADC,icefNAT,icefr,comment,type0,type0 < 50ADUs,50ADUs < type0 < 100ADUs,type1,type1 < 50ADUs,50ADUs < type1 < 100ADUs,type2,type3,strong hits,strong hits > 50ADUs,strong hits > 100ADUs,type0 damagedHits,type1 damagedHits,type0 failedFits,type1 failedFits,type0 damagedHits > 50ADUs,type1 damagedHits > 50ADUs,type0 failedFits > 50ADUs,type1 failedFits > 50ADUs,type0 damagedHits > 100ADUs,type1 damagedHits > 100ADUs,type0 failedFits > 100ADUs,type1 failedFits > 100ADUs
1,,,,,,,,dark calibration,,,1/18/2013,,,0:49,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,75,77,5788,0,0.00,0,0.00,,1,1,5,75,5788,-1,0,0,500,100000,0,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,,,,,,,,silver behenate,pixel calibration,,1/18/2013,,,2:31,9400,45.2,120,150,3.03,1.5x1.5,800,7.67E-04,,,129.015,-449.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,197,77,15175,14955,98.55,0,0.00,pixel calibration,2,2,5,197,15175,-1,1,14955,100,100,98.55,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,,,,,,,,silver behenate,pixel calibration,,1/18/2013,,,0:52,9400,47.3,120,150,3.03,1.5x1.5,800,7.67E-04,,,129.0148,-449.9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,60,103,6155,6084,98.85,0,0.00,pixel calibration,3,3,5,60,6155,-1,1,6084,100,1000,98.85,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,,,,,,,,silver behenate,pixel calibration,,1/18/2013,,,1:30,9400,44.3,120,150,3.03,1.5x1.5,1040,8.91E-05,,,129.0148,-449.9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,100,107,10670,10198,95.58,0,0.00,pixel calibration,4,4,5,100,10670,-1,1,10198,100,10,95.58,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,,,,,,,,Cu fluorescence,gain calibration; DSD only,,1/18/2013,,,3:44,9400,45.2,120,150,,1.5x1.5,,3.75E-04,,,129.0144,-449.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,262,0,100,100,100.00,0,0.00,gain calibration; DSD only,5,5,5,262,100,-1,1,100,100,100,100,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,,,,,,,,Cu fluorescence,gain calibration; DSD only,,1/18/2013,,,2:26,9400,45.2,120,150,3.03,1.5x1.5,720,1.60E-03,,,129.0144,-449.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,165,0,-1,-1,-1.00,-1,-1.00,gain calibration; DSD only,6,6,5,165,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,no cheetah dir!,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,,,,,,,,dark calibration,,,1/18/2013,,,2:00,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,135,106,14324,0,0.00,0,0.00,,7,7,5,135,14324,-1,1,0,50,10000,0,1,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,,,,,,,,Cu fluorescence,gain calibration; DS1 only,,1/18/2013,,,7:50,9400,50,120,150,3.03,1.5x1.5,,1.60E-03,,,229.0014,-349.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,10,475,0,-1,-1,-1.00,-1,-1.00,gain calibration; DS1 only,8,8,10,475,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,no cheetah dir!,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,,,,,,,,Cu fluorescence,gain calibration,,1/18/2013,,,1:25,9400,50,120,150,3.03,1.5x1.5,,,,,229.0042,-349.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,95,0,-1,-1,-1.00,-1,-1.00,gain calibration,9,9,5,95,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,no cheetah dir!,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,,,,,,,,Cu fluorescence,not useful; too much flux for Cu,,1/18/2013,,,0:23,9400,50,120,150,3.03,1.5x1.5,,,,,229.0048,-349.9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,25,0,-1,-1,-1.00,-1,-1.00,not useful; too much flux for Cu,10,10,5,25,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,no cheetah dir!,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,,,,,,,,Cu fluorescence,gain calibration; too short to be useful,,1/18/2013,,,1:04,9400,50,120,150,3.03,1.5x1.5,,,,,229.0046,-349.9954,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,75,0,-1,-1,-1.00,-1,-1.00,gain calibration; too short to be useful,11,11,5,75,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,no cheetah dir!,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,,,,,,,,Cu fluorescence,"gain calibration, last 10 s Bragg peaks ocurred",,1/18/2013,,,5:25,9400,50,120,150,3.03,1.5x1.5,,1.57E-03,,,229.0052,-349.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,5,365,99,36000,36000,100.00,0,0.00,"gain calibration, last 10 s Bragg peaks ocurred",12,12,5,365,36000,-1,1,36000,1,1000,100,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,X: 54 hits,X: 2 weak; 52 strong,X: 48 (0); 1 (1); 2 (2); 1 (3),X: 48 (0); 1 (1),X: 0 (0); 0 (1),X:,2.04,H2O,~8.6 um droplets ~400 um away from the nozzle,HN130110-5,1/18/2013,15:11:50,15:17:07,5:17,9394.418944,45.1,120,150,3.2,1.5x1.5,400,2.77E-02,,,129.0132,-449.9868,,,,,,,,,,,,,,,220,490,SINE,9.00E+05,20,,SEM,3.6,18.64,30.52,8.70,33.92,298.00,120Hz-Cont,5,355,107,37942,54,0.14,6,0.02,~8.6 um droplets ~400 um away from the nozzle,13,13,5,355,37942,-1,1,54,50,10000,0.14,1,6,500,10,0.02,DONE,48,48,0,1,1,0,2,1,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,X: 13874 hits,X: 18 weak; 13856 strong,X: 13850 (0); 2 (1); 1 (2); 3 (3),X: 2902 (0); 2 (1),X: 1695 (0); 0 (1),X:,0.01,H2O,~8.6 um droplets ~400 um away from the nozzle; illumination laser on,HN130110-5,1/18/2013,15:17:17,15:25:35,8:18,9394.452139,46.4,120,150,3.2,1.5x1.5,0,1.00E+00,,,129.013,-449.987,,,,,,6.8203,-140.1344,6.2998,32,-1212082,0.400029950159991,,4.80E-04,,220,490,SINE,9.00E+05,20,,SEM,3.6,18.64,30.52,8.70,33.92,298.00,120Hz-Cont,10,560,106,59621,13874,23.27,154,0.26,~8.6 um droplets ~400 um away from the nozzle; illumination laser on,14,14,10,560,59621,-1,1,13874,50,10000,23.27,1,154,2000,10,0.26,DONE,13850,2902,1695,2,2,0,1,3,13852,10948,9253,0,0,11,0,0,0,2,0,0,0,0,0
15,X: 19740 hits,X: 15 weak; 19725 strong,X: 19713 (0); 5 (1); 0 (2); 7 (3),X: 4382 (0); 0 (1),X: 2647 (0); 1 (1),X:,0.03,H2O,~8.6 um droplets ~400 um away from the nozzle,HN130110-5,1/18/2013,15:25:38,15:39:55,14:17,9394.469331,46.4,120,150,3.2,1.5x1.5,0,1.00E+00,,,129.013,-449.987,,,,,,6.8203,-140.1344,6.2998,32,-1212082,0.400029950159991,,4.80E-04,,220,490,SINE,9.00E+05,20,,SEM,3.6,18.64,30.52,8.70,33.92,298.00,120Hz-Cont,15,965,106,102480,19740,19.26,171,0.17,~8.6 um droplets ~400 um away from the nozzle,15,15,15,965,102480,-1,1,19740,50,10000,19.26,1,171,2000,10,0.17,DONE,19713,4382,2647,5,0,1,0,7,19718,15336,12688,28,0,24,2,21,0,1,0,0,0,0,0
16,X: 13649 hits,X: 14 weak; 13635 strong,X: 13632 (0); 0 (1); 0 (2); 3 (3),X: 3564 (0); 0 (1),X: 1856 (0); 0 (1),X:,0.00,H2O,~8.6 um droplets ~400 um away from the nozzle; illumination laser off,HN130110-5,1/18/2013,15:39:59,15:50:51,10:52,9394.420999,46.4,120,150,3.2,1.5x1.5,0,1.00E+00,,,129.0126,-449.9874,,,,,,6.8228,-140.1344,6.2998,37,-1212072,0.400007024188332,,4.80E-04,,220,490,SINE,9.00E+05,20,,SEM,3.6,18.64,30.52,8.70,33.92,298.00,120Hz-Cont,10,746,100,74619,13649,18.29,110,0.15,~8.6 um droplets ~400 um away from the nozzle; illumination laser off,16,16,10,746,74619,-1,1,13649,50,10000,18.29,1,110,2000,10,0.15,DONE,13632,3564,1856,0,0,0,0,3,13632,10068,8212,7,0,29,0,6,0,2,0,0,0,0,0
17,X: 5 hits,X: 3 weak; 2 strong,X: no water/ice; 1 (2); 1 (3),,,,,H2O,~8.6 um droplets ~20 mm away from nozzle; illumination laser on; very low hit rate,HN130110-5,1/18/2013,16:00:50,16:17:43,16:53,9400,45.7,120,150,3.2,1.5x1.5,0,1.00E+00,,,129.0128,-449.9872,,,,,,8.2207,-120.1344,11.2002,44,-1212061,21.0267104161409,,4.80E-04,,221,487,SINE,9.00E+05,20,,SEM,3.6,18.64,30.52,8.69,33.92,245.64,120Hz-Cont,15,1140,106,121326,5,0.00,5,0.00,~8.6 um droplets ~20 mm away from nozzle; illumination laser on; very low hit rate,17,17,15,1140,121326,-1,1,5,50,10000,0,1,5,2000,10,0,DONE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
